dataset,model,mae_original,mse_original,rmse_original,rsq_original,expvar_original,median_abs_err_original
bank8FM.csv,cbr,0.022811894047458994,0.0010084863505143045,0.03175667410977265,0.957128861066152,0.9571453707888348,0.016262986411368113
bank8FM.csv,xgbr,0.025273369213300232,0.0011833200913197053,0.0343994199270817,0.9496966121432288,0.9497916105431616,0.018142954083204273
bank8FM.csv,lgbmr,0.02343785854464444,0.0010574654020622711,0.03251869311737898,0.9550467429267343,0.9550637767092659,0.016499424708479177
ele-1.csv,cbr,482.11651149837417,638382.3632687349,798.9883373796735,0.6052167355839893,0.6072070875445192,261.9677107185411
ele-1.csv,xgbr,536.4556401880776,737566.116482977,858.8166955078232,0.5438803201002373,0.545408838074447,324.400390625
ele-1.csv,lgbmr,501.4979229129681,578822.5700568256,760.8038972408236,0.6420492217945174,0.6421427567038052,298.9895349663706
ele-2.csv,cbr,48.91805151440522,5683.220252403241,75.38713585488735,0.9980985659190452,0.9981001060227268,28.76435161822576
ele-2.csv,xgbr,48.3097247164611,6616.849894063844,81.3440218704721,0.9977862016007888,0.9977866982760949,23.495849320312573
ele-2.csv,lgbmr,76.37124232297654,21046.09948767531,145.0727386095517,0.9929586098972484,0.992977185348158,35.489405662468926
boston.csv,cbr,1.8428759834466197,8.7704704410012,2.961498006246366,0.8841088357894893,0.8852562582138389,1.0583849829165928
boston.csv,xgbr,2.20063989262381,10.747210730010853,3.278293874870106,0.8579886025618405,0.8589451041189975,1.5775939941406243
boston.csv,lgbmr,2.1824353207437635,11.564416035413426,3.4006493549634644,0.8471902223746884,0.8480270693603699,1.4300231726960622
wankara.csv,cbr,1.2883387437230354,3.0479160665211946,1.7458281892904566,0.9861922689084263,0.9862690477895882,0.9212833524329511
wankara.csv,xgbr,1.5896520398697764,4.577458737126257,2.1394996464421903,0.9792631037254402,0.9792897355130765,1.2375764846801758
wankara.csv,lgbmr,1.6092451894181288,4.872648106881322,2.20740755341675,0.9779258308643404,0.9787918790506415,1.2469378421279451
laser.csv,cbr,2.7890125889856776,59.76961233778909,7.731080929455408,0.9740181882398636,0.9740449211311437,1.1660665366724352
laser.csv,xgbr,4.482443680123585,86.0908130590809,9.278513515595098,0.9625763793391057,0.9626748512097256,2.048460006713867
laser.csv,lgbmr,4.087908030706382,80.29411032305181,8.960698093511008,0.965096202262932,0.9651493717599544,2.034964540487011
quake.csv,cbr,0.14986938638192543,0.0385890543319324,0.1964409690770548,-0.0189225416215546,-0.017621217793059918,0.12282339376612494
quake.csv,xgbr,0.15911241008774463,0.04400268240658136,0.20976816347239483,-0.16186638341066484,-0.16146608890276193,0.12235317230224574
quake.csv,lgbmr,0.152035104116541,0.040236462030115695,0.200590283987325,-0.06242142668054429,-0.05851409805684171,0.1219572594601992
stock.csv,cbr,0.5244036284162192,0.463928148202831,0.6811227115599883,0.9880921041372284,0.988092133373324,0.37830731172029175
stock.csv,xgbr,0.6016958200248184,0.6904819762375195,0.83095245124948,0.9822770239313818,0.9822880996097002,0.4199333190917969
stock.csv,lgbmr,0.5956833343589809,0.7059360563121968,0.8402000097073297,0.9818803556608812,0.9818804782781304,0.4423933391886763
friedman.csv,cbr,1.0072590432055515,1.645556148063915,1.2827923246043822,0.9348458087872608,0.9351078684972224,0.8415652680632011
friedman.csv,xgbr,1.3744803322073778,3.1190854869152917,1.7660932837523877,0.8765028513536535,0.8773117102917065,1.0982742077467038
friedman.csv,lgbmr,1.1778596321065593,2.282737943502553,1.5108732387273769,0.9096172168694887,0.9104379311670243,0.923797021941319
baseball.csv,cbr,460.8580075935708,502101.09003664076,708.5909186806169,0.6714417453984702,0.6729873409537656,279.4800293312208
baseball.csv,xgbr,474.4481048924582,553964.2181746407,744.2877253956568,0.6375042391923929,0.6376994484041862,218.24002075195312
baseball.csv,lgbmr,494.0593736214401,572750.3064554946,756.8026866069482,0.6252112478031545,0.625215203168378,272.72209273639953
treasury.csv,cbr,0.13717892314489874,0.08148586256077939,0.28545728675369175,0.9926474565670971,0.992668245185765,0.07005855483797108
treasury.csv,xgbr,0.151820531097544,0.08614244173948285,0.29350032664288955,0.9922272891959211,0.992260880570386,0.07881179809570327
treasury.csv,lgbmr,0.13298819792621205,0.0745853412815598,0.27310316966589715,0.9932700968732887,0.9932703939653392,0.06195548806072715
mortgage.csv,cbr,0.08447003090667002,0.019017881781615,0.1379053363057971,0.9980037259304549,0.9980037366972635,0.05049211542724841
mortgage.csv,xgbr,0.09976512425227532,0.024554249660642038,0.15669795678515416,0.9974225829954385,0.9974369822550592,0.059613494873047124
mortgage.csv,lgbmr,0.09502977107883917,0.027413520733096053,0.16557028940331067,0.99712245026955,0.997123116795554,0.0498571787951092
compactiv.csv,cbr,1.5966171499173096,5.960517482894085,2.4414171054725746,0.9833444392038158,0.9833454823581536,1.1608325534341972
compactiv.csv,xgbr,1.7094457988336562,9.68194404539291,3.111582241463804,0.9729456027708859,0.9729482751272969,1.2138290405273438
compactiv.csv,lgbmr,1.583551945622032,6.918924004302904,2.6303847635475126,0.9806663499052615,0.9806688861872693,1.148742423576138
forestFires.csv,cbr,23.36576369630484,4313.121291026864,65.67435794148935,-0.21584535512940373,-0.21030037133892776,11.659397406061736
forestFires.csv,xgbr,19.09160464083177,3848.5529443360824,62.03670642721197,-0.08488607335839271,-0.08473627016964569,7.529338836669922
forestFires.csv,lgbmr,26.56351529514944,3985.436648182434,63.13031481136803,-0.12347284249487411,-0.11540623679361395,13.249781427940114
