dataset,dataset_shape,dataset_aug_shape,model,num_nbrs,mae_auged,mse_auged,rmse_auged,rsq_auged,expvar_auged,median_abs_err_auged
bank8FM.csv,3014,3109,cbr,3,0.02303813348835388,0.0010043578868802882,0.03169160593722395,0.9573043636279338,0.9573176971614427,0.01653737395762836
bank8FM.csv,3014,3109,xgbr,3,0.024881171897861983,0.0011573775015375973,0.03402025134442127,0.9507994415174542,0.9508029785899301,0.017943720887184156
bank8FM.csv,3014,3109,lgbmr,3,0.02316338409550065,0.0010101003076470362,0.03178207525708534,0.9570602511336176,0.9570649312971542,0.01682279473800785
bank8FM.csv,3014,3079,cbr,4,0.023149638708181767,0.0010256675962641933,0.032026045592052,0.9563984797642886,0.9564159677668895,0.01650488944282219
bank8FM.csv,3014,3079,xgbr,4,0.025123221186678764,0.001186321027392915,0.034443011299724,0.949569041207578,0.9495755457804264,0.017961950866699217
bank8FM.csv,3014,3079,lgbmr,4,0.023335485133756884,0.001031839406946809,0.03212225718947548,0.9561361137410769,0.9561403780047772,0.016802891087449503
bank8FM.csv,3014,3079,cbr,5,0.02309223783506437,0.0010211531102856553,0.031955486387874855,0.9565903922829877,0.9566000317050279,0.016597831132987705
bank8FM.csv,3014,3079,xgbr,5,0.02533395380502623,0.0012035054028146867,0.03469157538675185,0.9488385268621706,0.9489624507541564,0.018757016349792488
bank8FM.csv,3014,3079,lgbmr,5,0.023136446311177696,0.0010121755798491265,0.03181470697412011,0.9569720305217512,0.9569840640267149,0.016415292540005663
baseball.csv,225,364,cbr,3,464.7235011625166,526675.224392405,725.7239312523772,0.6553612491548071,0.6563266662186489,246.20144292318452
baseball.csv,225,364,xgbr,3,503.1094010898045,605256.2460039343,777.9821630371317,0.6039404420348602,0.6043588823871109,295.57005310058594
baseball.csv,225,364,lgbmr,3,492.4692308140296,572561.1502729327,756.6777056798572,0.6253350253181267,0.6268859093554471,307.1909919398139
baseball.csv,225,334,cbr,4,472.1857874689901,515959.1102420953,718.3029376538115,0.6623735178616517,0.6636998195793447,294.01193715929907
baseball.csv,225,334,xgbr,4,493.39232294900074,664017.0941349819,814.8724404070749,0.5654892972675114,0.5667354821290731,220.43910217285156
baseball.csv,225,334,lgbmr,4,507.38637014620645,609777.4093460913,780.8824555245759,0.600981943107166,0.6010190942557614,273.7887704134431
baseball.csv,225,292,cbr,5,460.02904092548437,510279.57977580227,714.3385610309738,0.666090013710775,0.668061552815262,241.80721985697494
baseball.csv,225,292,xgbr,5,479.37063813209534,585495.6080711005,765.1768475791074,0.6168711463050918,0.6171481474218743,217.18075561523438
baseball.csv,225,292,lgbmr,5,471.81509282167525,527313.7455276579,726.1637181294986,0.6549434221596305,0.6557572644214826,271.53499078037146
boston.csv,339,608,cbr,3,1.7240695257694862,8.110783270746984,2.8479436916391068,0.8928258042451485,0.8935952439698404,1.1248467797286423
boston.csv,339,608,xgbr,3,1.9657803581146422,8.443673695744906,2.9058000095920065,0.8884270597117666,0.8905832661092716,1.2888637542724624
boston.csv,339,608,lgbmr,3,2.0613737870942233,10.637925505870431,3.261583282068761,0.8594326746833805,0.8603163457414873,1.4715274134480687
boston.csv,339,533,cbr,4,1.7192411045266116,7.925111988662853,2.8151575424233104,0.8952792257789118,0.8966607445698969,1.1341655964919077
boston.csv,339,533,xgbr,4,1.94390799870748,8.310854161085631,2.882855209871913,0.8901821092960628,0.8902118282857066,1.444893646240235
boston.csv,339,533,lgbmr,4,2.040311795613593,10.166454216504633,3.1884877632671937,0.8656625978082563,0.8669966472405447,1.1500772946694031
boston.csv,339,463,cbr,5,1.8959708519280496,9.967105163236537,3.1570722454889335,0.8682967545530871,0.8695100579156108,1.2838621032390662
boston.csv,339,463,xgbr,5,2.0768390735466324,10.706874237900145,3.2721360359710205,0.8585216005420885,0.8585327098762753,1.3549314498901364
boston.csv,339,463,lgbmr,5,2.0645442988570424,10.202100589820331,3.1940727276974035,0.8651915740779754,0.866312776263435,1.3343189545599472
compactiv.csv,5488,5530,cbr,3,1.6115414858075043,6.579315477152537,2.5650176368112048,0.9816153229578679,0.9816189607519407,1.1221598830594601
compactiv.csv,5488,5530,xgbr,3,1.6466386303937193,5.159022337394141,2.271348132144023,0.9855840687598117,0.9856153972827248,1.2055473327636719
compactiv.csv,5488,5530,lgbmr,3,1.568693352410579,6.893153010921794,2.6254814817327876,0.9807383621673291,0.9807410831301142,1.1182975234466213
compactiv.csv,5488,5500,cbr,4,1.5761730558969511,5.880946263092122,2.4250662389081503,0.9835667862219801,0.9835681910995587,1.1339846670778044
compactiv.csv,5488,5500,xgbr,4,1.6938211464157091,9.496717720924604,3.0816744995090906,0.9734631833865102,0.9734672889515853,1.2186431884765625
compactiv.csv,5488,5500,lgbmr,4,1.5451854852807585,6.829634078578371,2.613356860166321,0.9809158540449037,0.9809178829496618,1.080145972177469
compactiv.csv,5488,5500,cbr,5,1.585925107800818,5.829795168263223,2.414496876838573,0.9837097184710942,0.9837104601294772,1.1538461135446383
compactiv.csv,5488,5500,xgbr,5,1.702126821042871,9.490159103472754,3.0806101836280346,0.9734815102267588,0.9734838107277013,1.2093276977539062
compactiv.csv,5488,5500,lgbmr,5,1.5707469883730787,6.826658413286468,2.612787479548704,0.9809241689897589,0.9809278653376231,1.1308444003035092
cpuSm.csv,5488,5525,cbr,3,1.8469741215781006,7.090118929095057,2.6627277234248075,0.9753074205516286,0.9753198140061139,1.2724106325783566
cpuSm.csv,5488,5525,xgbr,3,1.978446472095382,7.94643434302918,2.8189420609564113,0.9723251523269498,0.9723755050986876,1.4134864807128906
