iter	RMSE
169	1.162457925
170	1.158556276
171	1.155652126
172	1.15040765
173	1.147210643
174	1.143904489
175	1.139681073
176	1.136580406
177	1.132623267
178	1.130477691
179	1.126718635
180	1.123036555
181	1.117724895
182	1.116002609
183	1.110741535
184	1.105367606
185	1.101607444
186	1.097566824
187	1.091379278
188	1.087417909
189	1.082191505
190	1.076791453
191	1.074146857
192	1.070348739
193	1.066464355
194	1.062160042
195	1.059004537
196	1.051945045
197	1.050836541
198	1.046988859
199	1.043591751
200	1.040737182
201	1.037461811
202	1.034722269
203	1.030782531
204	1.028658238
205	1.02576257
206	1.020577066
207	1.018214542
208	1.015275382
209	1.011102666
210	1.006635773
211	1.004535637
212	1.00239491
213	1.000492584
214	0.999248139
215	0.996624946
216	0.992222203
217	0.989194713
218	0.9863017093
219	0.9847771311
220	0.9791944054
221	0.9778976552
222	0.9725720814
223	0.9715054339
224	0.9698650942
225	0.9679880271
226	0.966784862
227	0.9632235501
228	0.9591444701
229	0.957786171
230	0.955387176
231	0.950722377
232	0.9490334122
233	0.9473109057
234	0.9422996744
235	0.9408471924
236	0.9379874075
237	0.9364666883
238	0.9349690358
239	0.9301817984
240	0.9269222567
241	0.9248321573
242	0.9217051603
243	0.9197916779
244	0.9161209495
245	0.9132437457
246	0.908250859
247	0.9045649061
248	0.901391255
249	0.9004498845
250	0.8996899797
251	0.8964042626
252	0.8933285053
253	0.8902342932
254	0.8892090796
255	0.8858693665
256	0.8847401185
257	0.8823293491
258	0.8785135967
259	0.8773662417
260	0.8743453521
261	0.8682286041
262	0.8644097212
263	0.8633082667
264	0.8617022183
265	0.8583343801
266	0.8547364175
267	0.8524735241
268	0.8501703304
269	0.8491127757
270	0.8481158487
271	0.8475415836
272	0.8471304856
273	0.8445253662
274	0.8413263073
275	0.8395459585
276	0.8348543459
277	0.8342603862
278	0.8318833111
279	0.8286185138
280	0.8273252277
281	0.8244813389
282	0.8210755755
283	0.8204413411
284	0.8173558945
285	0.8139482688
286	0.8101245865
287	0.8091721915
288	0.8046125007
289	0.8005221604
290	0.80005402
291	0.7995884008
292	0.7977335048
293	0.7930322534
294	0.7925851803
295	0.792036849
296	0.7911786938
297	0.7890926144
298	0.7863347308
299	0.7855160391
300	0.7826483452
301	0.7821924869
302	0.7800311531
303	0.7770891041
304	0.7735830851
305	0.7716870366
306	0.7687048935
307	0.7662840093
308	0.7649428605
309	0.761684485
310	0.7585070667
311	0.755362253
312	0.7534578608
313	0.7501164451
314	0.746505489
315	0.7437454952
316	0.7410870239
317	0.7386694217
318	0.7377955293
319	0.7343998309
320	0.7311956694
321	0.7286207852
322	0.7277673353
323	0.7270204367
324	0.7247235086
325	0.7239148942
326	0.7214725868
327	0.7197330214
328	0.7182636119
329	0.7174731197
330	0.7158602446
331	0.7150819319
332	0.7143220421
333	0.7121153391
334	0.7093482332
335	0.7069318385
336	0.7043486395
337	0.7025023828
338	0.7007099337
339	0.6979179242
340	0.6970469593
341	0.6951023217
342	0.6943762953
343	0.6939840278
344	0.6933421377
345	0.6913059425
346	0.6891944581
347	0.6868285927
348	0.6862725963
349	0.6837358368
350	0.68163056
351	0.6810056072
352	0.6786850862
353	0.6760418187
354	0.674388393
355	0.6733250565
356	0.6706620486
357	0.6690682698
358	0.6669521541
359	0.6650639323
360	0.6647895244
361	0.6642314633
362	0.6621166932
363	0.6616322747
364	0.6613426949
365	0.6610627128
366	0.6593153281
367	0.6573662077
368	0.6567957444
369	0.6545484927
370	0.6528070264
371	0.6522144018
372	0.6519869909
373	0.651533934
374	0.6491493581
375	0.6477243842
376	0.6461377374
377	0.644330387
378	0.6438765328
379	0.6430899656
380	0.6407084136
381	0.6382705479
382	0.6352486896
383	0.6344573725
384	0.6329903445
385	0.6325606566
386	0.631030583
387	0.628922082
388	0.6285233842
389	0.6266251851
390	0.6262660787
391	0.6248657968
392	0.6241867034
393	0.6220136934
394	0.6204076655
395	0.6180920238
396	0.616102235
397	0.6137572273
398	0.6119295456
399	0.6101709775
400	0.608548487
401	0.6057788525
402	0.6036274488
403	0.6021633228
404	0.60095339
405	0.5990451859
406	0.5985665393
407	0.596007212
408	0.5940238384
409	0.5933304144
410	0.5927305543
411	0.5911694472
412	0.5883048788
413	0.5879722904
414	0.5863786243
415	0.5849635116
416	0.5834667319
417	0.5826707623
418	0.5815418583
419	0.580168551
420	0.5799300875
421	0.5789043462
422	0.5779616659
423	0.576287946
424	0.5747168789
425	0.5738258758
426	0.5734598026
427	0.5719914992
428	0.5702286518
429	0.5682992914
430	0.5672546475
431	0.5655253222
432	0.5644393816
433	0.5633851445
434	0.5613728064
435	0.5602327799
436	0.558901832
437	0.5574271683
438	0.5555814792
439	0.5540481233
440	0.552928445
441	0.5510685264
442	0.5491656271
443	0.5484778651
444	0.5481671973
445	0.5472114493
446	0.5466249902
447	0.5459129976
448	0.5446326869
449	0.5443115282
450	0.5418977908
451	0.5415063904
452	0.53987135
453	0.5396431397
454	0.5386127572
455	0.5371188681
456	0.5354457684
457	0.535239918
458	0.5341226535
459	0.5327812736
460	0.5326240994
461	0.530831372
462	0.5298696839
463	0.5296168455
464	0.5286633985
465	0.5272455496
466	0.52570892
467	0.5250698691
468	0.5241083999
469	0.5227951509
470	0.5213518912
471	0.5199635034
472	0.5183751229
473	0.5172915378
474	0.5158097311
475	0.5145114801
476	0.5143575944
477	0.5136523087
478	0.5133950351
479	0.5114151719
480	0.5112925395
481	0.5110667876
482	0.510290479
483	0.5099671895
484	0.5086657722
485	0.5068544964
486	0.5049009525
487	0.5031982228
488	0.5025954604
489	0.5020169829
490	0.5015104108
491	0.5002192086
492	0.4991094947
493	0.498556704
494	0.4976842329
495	0.4971786651
496	0.4961845054
497	0.4948665672
498	0.4932647565
499	0.4926456209
500	0.4922188823
501	0.4921197446
502	0.4905180155
503	0.4884786908
504	0.486962556
505	0.4857074613
506	0.485407593
507	0.4843810915
508	0.4835769234
509	0.4832135886
510	0.4821886892
511	0.4813563699
512	0.4812304469
513	0.4801183341
514	0.4786884908
515	0.4775980168
516	0.4762703325
517	0.4756853254
518	0.4755545877
519	0.4746929374
520	0.4745860264
521	0.4735999307
522	0.4735040241
523	0.4726023384
524	0.4722292539
525	0.4716182921
526	0.4705024768
527	0.4696298341
528	0.4683713811
529	0.4674523858
530	0.4665136942
531	0.4652993665
532	0.4639896185
533	0.4629517129
534	0.4617271342
535	0.4602356678
536	0.4581259209
537	0.4574098429
538	0.4563175184
539	0.4557221532
540	0.4554663376
541	0.4545468609
542	0.4532104771
543	0.4521433234
544	0.4516786791
545	0.4505051175
546	0.4494254439
547	0.447516454
548	0.4466173061
549	0.4452649813
550	0.444151377
551	0.4437677276
552	0.443251807
553	0.4424837661
554	0.4419909542
555	0.4418460519
556	0.4402948333
557	0.4388984117
558	0.4383867407
559	0.4374317698
560	0.4364555906
561	0.4353785799
562	0.434916169
563	0.4342186191
564	0.433923825
565	0.4328236344
566	0.4327180364
567	0.4318225883
568	0.4302195061
569	0.4297583108
570	0.4290165234
571	0.4282952771
572	0.4267678403
573	0.4254094668
574	0.424559919
575	0.4238235717
576	0.4227935159
577	0.4211704575
578	0.4202493082
579	0.4187842746
580	0.4186646408
581	0.4185123207
582	0.4182390631
583	0.4170792707
584	0.4162577819
585	0.4150990175
586	0.4139933504
587	0.4131583147
588	0.412166268
589	0.410998438
590	0.4095142341
591	0.4081167449
592	0.4074409736
593	0.4073556194
594	0.4062235305
595	0.4048616714
596	0.403501592
597	0.4027981065
598	0.4023599837
599	0.4017146551
600	0.4009405236
601	0.4006172252
602	0.3997286337
603	0.3993060059
604	0.3989148963
605	0.3987364212
606	0.3976571237
607	0.3970044309
608	0.3966731941
609	0.3962624209
610	0.3956717724
611	0.3955857036
612	0.3951128228
613	0.3946771052
614	0.3930381235
615	0.3918381617
616	0.3904804196
617	0.3895487082
618	0.3882694957
619	0.3876393553
620	0.3866737221
621	0.3855644967
622	0.3846837186
623	0.3834490969
624	0.3824301165
625	0.3822569842
626	0.3809793635
627	0.3807898998
628	0.3800786375
629	0.3787289746
630	0.378290047
631	0.3770066174
632	0.3759177926
633	0.3750807951
634	0.3745846905
635	0.374243476
636	0.3735886568
637	0.373272695
638	0.3721648738
639	0.3708546495
640	0.3704700401
641	0.3700984235
642	0.368831277
643	0.3680647755
644	0.3673496922
645	0.3662927619
646	0.3652988199
647	0.3642063723
648	0.3628051798
649	0.3617579171
650	0.3614717145
651	0.3603123263
652	0.360004726
653	0.3594104579
654	0.3583978582
655	0.3575195285
656	0.3564192648
657	0.3561483075
658	0.3550720046
659	0.3549354072
660	0.354315192
661	0.3530515303
662	0.3527163541
663	0.3517648342
664	0.3505575835
665	0.3497402748
666	0.349201281
667	0.3487284688
668	0.3478410079
669	0.3471203354
670	0.3464380883
671	0.345474433
672	0.3451396218
673	0.3443323761
674	0.3435084359
675	0.3425135384
676	0.3419135505
677	0.3406715592
678	0.339485318
679	0.3390049934
680	0.3381192738
681	0.3376341977
682	0.3361746403
683	0.3356623546
684	0.3347244694
685	0.3340407972
686	0.3338075352
687	0.332927285
688	0.3327141093
689	0.3322795644
690	0.3312974428
691	0.3306112963
692	0.3304235326
693	0.3296967078
694	0.3293711638
695	0.3289192253
696	0.3284227043
697	0.3279519077
698	0.3274407553
699	0.3266022203
700	0.3264061713
701	0.325656635
702	0.325156468
703	0.3247747019
704	0.3244439102
705	0.3236035846
706	0.3227504394
707	0.3219650383
708	0.3210390977
709	0.3205199122
710	0.3195448485
711	0.3187391494
712	0.3181680296
713	0.3172111588
714	0.3169569747
715	0.3166744744
716	0.3158665678
717	0.315299206
718	0.3144276012
719	0.3138359616
720	0.3129268593
721	0.3128414085
722	0.3118349004
723	0.3113505444
724	0.3105917605
725	0.3095243979
726	0.3091327734
727	0.3083312019
728	0.3080201619
729	0.3077845107
730	0.3070841604
731	0.3066940073
732	0.3058400833
733	0.3052856147
734	0.3049028468
735	0.3042374412
736	0.3040514032
737	0.3030663421
738	0.3028780953
739	0.3022926238
740	0.3017005501
741	0.3011053548
742	0.3002635104
743	0.2995200856
744	0.2988995684
745	0.2982821968
746	0.2972863155
747	0.2966201177
748	0.2963404482
749	0.2959307941
750	0.2951288843
751	0.294171769
752	0.2936776297
753	0.2931713946
754	0.2925510617
755	0.2919030858
756	0.2915481529
757	0.2912441125
758	0.2904621948
759	0.2899346919
760	0.2896450043
761	0.2894279301
762	0.2889846268
763	0.2880461796
764	0.2871991526
765	0.2870537024
766	0.2863411484
767	0.2857000077
768	0.2851640275
769	0.2844906954
770	0.2836637232
771	0.2827787023
772	0.2823386018
773	0.2814642994
774	0.2807744794
775	0.2805809822
776	0.2798654749
777	0.2794990049
778	0.2787791184
779	0.2782788263
780	0.2775991807
781	0.2770875508
782	0.2764269003
783	0.2757453272
784	0.27494002
785	0.274327268
786	0.2736829035
787	0.2734777155
788	0.2734125862
789	0.2728864838
790	0.2722376088
791	0.2720399695
792	0.271441128
793	0.2712888615
794	0.2706604245
795	0.2701245658
796	0.269699168
797	0.2691182487
798	0.2682984298
799	0.2681405143
800	0.267466759
801	0.2669271898
802	0.2668700593
803	0.2666411482
804	0.2665061383
805	0.2658867598
806	0.2654348544
807	0.2650784422
808	0.2644432617
809	0.2639369283
810	0.263262541
811	0.2624356452
812	0.2618739103
813	0.2615498354
814	0.2610776013
815	0.2605770484
816	0.2604983098
817	0.260059647
818	0.259316325
819	0.258811912
820	0.2584107627
821	0.2577082498
822	0.2573275663
823	0.2572419639
824	0.2568355685
825	0.2558952849
826	0.255715833
827	0.2551441508
828	0.2542984966
829	0.2539155322
830	0.2536023555
831	0.2531320819
832	0.2525814209
833	0.2520744963
834	0.2516546123
835	0.2514791242
836	0.2507471594
837	0.2501368442
838	0.2494175474
839	0.2491065449
840	0.2490529111
841	0.2486789219
842	0.2481109353
843	0.24760566
844	0.2474948933
845	0.2472783282
846	0.2469187301
847	0.2461314128
848	0.2454606365
849	0.2448166641
850	0.2440739053
851	0.2436978782
852	0.2432145521
853	0.2427705024
854	0.2421458653
855	0.2416906679
856	0.2411340218
857	0.2406181547
858	0.2403056193
859	0.2398718473
860	0.2396557763
861	0.2391908459
862	0.2382400389
863	0.2378987249
864	0.2378551269
865	0.2372317106
866	0.2364960788
867	0.2358872809
868	0.2352049121
869	0.2348072699
870	0.2345089357
871	0.2339657423
872	0.2332510695
873	0.2327871875
874	0.2321235626
875	0.2315665052
876	0.2310109141
877	0.2305527042
878	0.2303888437
879	0.2301126121
880	0.2298012992
881	0.2296703773
882	0.2295644311
883	0.2290545694
884	0.2287069374
885	0.2280699814
886	0.227532353
887	0.2271413835
888	0.2267283192
889	0.2264132334
890	0.2260498238
891	0.2256543557
892	0.2248270827
893	0.2244602869
894	0.2238327802
895	0.2237162161
896	0.2229404764
897	0.2227954078
898	0.2224254243
899	0.2222317166
900	0.2216416082
901	0.2215248401
902	0.2213903657
903	0.2210567971
904	0.220731751
905	0.2207129457
906	0.2202915068
907	0.2201837929
908	0.2199517182
909	0.2193971792
910	0.2189975834
911	0.21854661
912	0.2183380995
913	0.2182268169
914	0.2179447636
915	0.2175581992
916	0.2170138196
917	0.2164700708
918	0.2161567946
919	0.2155887869
920	0.2151843897
921	0.2146589132
922	0.2143553706
923	0.2141726772
924	0.2139038905
925	0.2134858684
926	0.2129580614
927	0.212433069
928	0.2121057616
929	0.211800242
930	0.21164316
931	0.2115608999
932	0.2112523897
933	0.2109112978
934	0.2106040761
935	0.2100483309
936	0.2098082745
937	0.2093566821
938	0.2091840722
939	0.2091156789
940	0.208340445
941	0.2080321605
942	0.207937342
943	0.2076709678
944	0.2074857902
945	0.2067994388
946	0.2066939196
947	0.2065928532
948	0.2063771521
949	0.2059200427
950	0.2054802926
951	0.2052143682
952	0.2051048874
953	0.2045254824
954	0.2043878746
955	0.2042844804
956	0.2038418175
957	0.2038197853
958	0.2034798943
959	0.2029962726
960	0.2025084481
961	0.2024105421
962	0.2022670258
963	0.2021140324
964	0.2018087202
965	0.2017542087
966	0.2014538646
967	0.2014155206
968	0.2013802882
969	0.2013249824
970	0.2011719619
971	0.2011235724
972	0.2010600585
973	0.2007105798
974	0.2003620915
975	0.2000276891
976	0.1995841725
977	0.1990532117
978	0.1984166397
979	0.1982616482
980	0.1981690128
981	0.1980370757
982	0.1978254321
983	0.1975586948
984	0.1968504719
985	0.1962739043
986	0.1956073785
987	0.1949639932
988	0.1944778893
989	0.1941994072
990	0.1939848353
991	0.1938235575
992	0.1937106664
993	0.1935438884
994	0.1931448008
995	0.1931089139
996	0.1924769258
997	0.1922535186
998	0.1922168725
999	0.1921804038
